Iteration,ExplainedVariance,MaxReturn,MinReturn,dLoss,LossBefore,StdReturn,LossAfter,MeanKL,Perplexity,AverageDiscountedReturn,AverageReturn,Entropy,NumTrajs,MeanKLBefore
42,0.2277110996,-6601.25,-8020.0,0.0,0.00419380417509,668.805163872,0.00419380417509,0.0114758333844,4.35948607129,-877.37291108,-7547.08333333,1.47235417686,3,0.0114758333844
43,0.351595363025,-4982.5,-7695.0,0.0,0.0210719514704,1124.8302341,0.0210719514704,0.0213663083351,4.49630993961,-770.685220981,-6199.16666667,1.50325704696,3,0.0213663083351
44,-0.0748971019907,-1407.5,-5613.75,0.0,-0.00342865773545,1819.8295288,-0.00342865773545,0.0178698439605,4.56000433055,-376.241958349,-3084.58333333,1.51732357321,3,0.0178698439605
45,-0.123632875138,-3401.25,-5838.75,0.0,0.0184876532475,1085.27070356,0.0184876532475,0.0187952470278,4.28126243019,-389.643451103,-4926.25,1.45424792643,3,0.0187952470278
46,0.632359346676,-6482.5,-8020.0,0.0,-0.0176515096695,723.315812,-0.0176515096695,0.0146232705168,4.45819801076,-877.181637192,-6997.08333333,1.49474465093,3,0.0146232705168
47,0.140695229034,4355.0,-8020.0,0.0,-0.0196342116481,5092.36646173,-0.0196342116481,0.0111950656493,4.28286627134,-184.877639796,-2284.58333333,1.45462247502,3,0.0111950656493
48,-0.983936233832,4255.0,-5157.5,0.0,0.00485320013566,3960.14432257,0.00485320013566,0.0132231654533,4.45967551233,-161.543441149,-1128.33333333,1.4950760083,3,0.0132231654533
49,-0.619746576799,-801.25,-8020.0,0.0,0.035226125027,2968.70394701,0.035226125027,0.0159371860474,4.18965988724,-139.126799958,-4157.5,1.43261955814,3,0.0159371860474
50,0.217598864094,-4107.5,-7645.0,0.0,0.00699123094445,1453.24110946,0.00699123094445,0.025220448922,4.28343274321,-625.306303309,-5761.66666667,1.45475473094,3,0.025220448922
51,0.358474839778,3080.0,-6182.5,0.0,-0.0179219610058,4341.55770017,-0.0179219610058,0.0132966837988,4.61150467175,-205.281928589,-3059.58333333,1.52855419676,3,0.0132966837988
52,0.327727843438,1942.5,-8020.0,0.0231811055626,-0.000570099104267,4509.39220467,-0.0237512046669,0.00932415817935,4.06095450118,-193.178934253,-4415.83333333,1.4014180448,3,0.00528863455172
53,0.496786815127,-2070.0,-8020.0,0.0,0.00770167642934,2804.85689871,0.00770167642934,0.0141170842998,4.47279030556,-648.843042236,-6036.66666667,1.49801244331,3,0.0141170842998
54,0.692151524079,-8020.0,-8020.0,0.0,0.0272903068723,0.0,0.0272903068723,0.0112918551982,4.22321216429,-910.247233625,-8020.0,1.44059601487,3,0.0112918551982
55,0.436282809004,-2707.5,-8020.0,0.0,-0.0166942880404,2504.3365167,-0.0166942880404,0.0126747645474,4.12463067525,-622.957815838,-6249.16666667,1.41697648251,3,0.0126747645474
56,0.264795717245,-8020.0,-8020.0,0.0198418214112,-0.012010055848,0.0,-0.0318518772592,0.0099199201098,4.06743206022,-910.247233625,-8020.0,1.40301185689,3,0.00707240104251
57,0.158403867053,-1138.75,-6107.5,0.0,-0.000154932237996,2224.01858818,-0.000154932237996,0.0143362680711,4.27112176516,-703.424882758,-4267.91666667,1.45187650121,3,0.0143362680711
58,0.167265261177,-3001.25,-8020.0,0.0,0.0161565133284,2073.23175997,0.0161565133284,0.011471667629,4.16240030382,-782.280213072,-5734.58333333,1.42609190399,3,0.011471667629
59,-0.00935511105029,-1082.5,-8020.0,0.0,0.000108905530143,3058.65546669,0.000108905530143,0.0106038688534,4.19173851329,-486.625550608,-3734.58333333,1.43311556752,3,0.0106038688534
60,0.0356339973452,-288.75,-7001.25,0.0,-0.00264370295766,2758.10516428,-0.00264370295766,0.0108616397628,4.22952827617,-582.838395038,-3865.83333333,1.4420904682,3,0.0108616397628
61,0.191644082297,11780.0,-8020.0,0.0,0.0143031828935,8287.79694038,0.0143031828935,0.0104075758408,4.33754015106,420.081561984,586.25,1.46730740196,3,0.0104075758408
62,-3.51784253973,4717.5,-2120.0,0.0,-0.0112845077577,2843.55234356,-0.0112845077577,0.0127924605091,4.40481560993,246.29546904,915.416666667,1.48269839924,3,0.0127924605091
63,0.197158977328,-357.5,-8020.0,0.0,-0.00386334987528,3612.13714056,-0.00386334987528,0.012567023241,4.26141239361,-695.4930012,-5465.83333333,1.44960065313,3,0.012567023241
64,-0.397483049687,1761.25,-4745.0,0.0,-0.00428955146392,2746.78947693,-0.00428955146392,0.0202254870122,4.27943526899,-203.333988901,-997.083333333,1.45382105439,3,0.0202254870122
65,0.645420529975,-151.25,-8020.0,0.00433944978451,-0.00886926324503,3709.36432297,-0.0132087130295,0.00818774032766,4.07196002612,-570.979230181,-5397.08333333,1.40412446243,3,0.00449871988627
66,0.552334657364,6561.25,-8020.0,0.0214475204969,-0.0047105683985,6873.66716878,-0.0261580888954,0.0088189660686,4.22881955018,-268.138407373,-3159.58333333,1.44192288796,3,0.00655735299665
67,0.916207311531,-8020.0,-8020.0,0.0168728485196,0.00139752551731,0.0,-0.0154753230023,0.00896161469568,4.05559334817,-910.247233625,-8020.0,1.40009700194,3,0.00571669012084
