MinReturn,LossAfter,MaxReturn,ExplainedVariance,Iteration,MeanKL,AverageReturn,dLoss,AverageDiscountedReturn,NumTrajs,Perplexity,MeanKLBefore,StdReturn,Entropy,LossBefore
0.0,-0.00873686566836,1952.0,0.813159149613,15,0.00641551034217,1298.0,0.000209669578573,154.406981274,3,3.48435201718,0.00447075640899,917.833681375,1.24828209211,-0.00852719608979
0.0,-0.0417512212746,2556.0,0.659795663106,16,0.00977344566533,1283.66666667,0.0167173028496,199.246032777,3,3.65660515717,0.00594915238088,1043.51340299,1.29653516428,-0.025033918425
372.0,0.00504236534506,935.0,-3.25705683135,17,0.00702321549812,570.666666667,0.0,61.9885509849,3,3.97557237211,0.00702321549812,257.974589619,1.38016873072,0.00504236534506
0.0,-0.0176483322584,2427.0,0.38671936885,18,0.00888312044654,1133.0,0.0190258960103,161.075793924,3,3.62814821593,0.00629401628637,997.337455428,1.28872238476,0.0013775637519
0.0,-0.0281969791362,455.0,-2.2376590883,19,0.00989040907493,157.666666667,0.0177038585373,3.87365529235,3,4.38438785447,0.00744668345491,210.374797815,1.47805001619,-0.010493120599
0.0,-0.0168893348825,808.0,0.0794263571643,20,0.0095404449488,518.666666667,0.00510259476874,24.140015745,3,4.24784347687,0.00887703158662,367.569796849,1.44641143695,-0.0117867401138
0.0,-0.0189627834026,325.0,-0.323716553372,21,0.0097087281637,177.333333333,0.0102525408118,4.0662503808,3,4.58961439932,0.00900183178857,134.328784042,1.52379601168,-0.00871024259083
0.0,-0.00160744676712,1909.0,0.0379182616225,22,0.0122111149396,636.333333333,0.0,74.6436774412,3,4.07416561538,0.0122111149396,899.91123019,1.40466596877,-0.00160744676712
184.0,-0.0281790731405,1420.0,-0.0326587988307,23,0.00997669741685,816.333333333,0.02432989071,103.618503173,3,3.672213326,0.00691224391941,505.001870184,1.30079456639,-0.00384918243045
0.0,0.00132513636305,1505.0,0.505957046988,24,0.006325110118,762.333333333,0.0,136.981213174,3,3.61612824884,0.006325110118,614.571033775,1.28540390895,0.00132513636305
0.0,-0.0190227430812,1979.0,0.315349355421,25,0.00977191701157,710.333333333,0.0195143544424,35.6351627137,3,4.16811015202,0.00760360692157,899.226457697,1.42746273213,0.000491611361195
0.0,-0.0134852233404,1770.0,-0.0129190608747,26,0.00891699327671,960.666666667,0.0158107582582,100.397797737,3,3.94486626754,0.00605547099527,730.479903138,1.37241505449,0.00232553491783
205.0,-0.0006329811217,2576.0,0.293712032292,27,0.0135159150638,1186.66666667,0.0,148.001716257,3,4.10205805874,0.0135159150638,1009.96842635,1.41148881331,-0.0006329811217
0.0,-0.0133289287246,907.0,-0.69863317727,28,0.00988916139973,302.333333333,0.0143546652667,12.9048877642,3,4.33094272227,0.00673212956977,427.563900357,1.46578523709,0.00102573654214
0.0,-0.0289288820863,0.0,0,29,0.00960490406537,0.0,0.0250848882083,0.0,3,4.49888936665,0.00401183087078,0.0,1.5038305589,-0.00384399387796
0.0,-0.0351850472752,1229.0,6.25721696679e-13,30,0.00959881504982,419.333333333,0.0240262606829,66.2143303364,3,4.13086668645,0.00629933480927,572.643189274,1.4184872364,-0.0111587865923
0.0,-0.0355767514982,880.0,-0.0354890850297,31,0.00999055086406,426.333333333,0.0325035549578,22.3649558988,3,4.21802397056,0.00716515147203,359.778017981,1.43936676496,-0.00307319654047
0.0,-0.0411259427264,1736.0,0.189833248715,32,0.00879071118169,578.666666667,0.0232771120737,86.3704539781,3,4.10165324335,0.00518007080219,818.358248093,1.41139012252,-0.0178488306527
