MaxReturn,MinReturn,Iteration,ExplainedVariance,LossBefore,MeanKLBefore,StdReturn,AverageReturn,Perplexity,AverageDiscountedReturn,Entropy,LossAfter,NumTrajs,MeanKL,dLoss
28106.25,18037.5,10,0.808027145241,-1.72617475869e-16,1.44828076342e-18,3264.78374332,23279.375,5.01493756115,3504.29971196,1.61242097092,-0.0134534154124,10,0.00762826960549,0.0134534154124
27993.75,4862.5,11,0.56203532316,-3.28737037592e-16,1.65671670212e-18,6349.10146817,22586.875,5.00264194703,3149.13009199,1.60996616229,-0.0137389841881,10,0.00640601670894,0.0137389841881
27768.75,21656.25,12,0.8705658552,5.67990099398e-17,-9.56516652664e-19,2060.82593045,24613.125,5.03606237278,3706.2578813,1.61662450149,-0.0195168134863,10,0.00976656670441,0.0195168134863
28450.0,15125.0,13,0.788207956422,-2.31559216246e-16,-1.87209124106e-18,3718.1884555,23863.125,4.99712689339,3795.66842882,1.60886312595,-0.0112918295521,10,0.00844257727028,0.0112918295521
27918.75,16681.25,14,0.757501513387,2.39896991161e-16,1.38440315623e-18,3823.02522552,22963.75,4.99409957771,3511.54559567,1.60825713113,-0.0127638969785,10,0.0095204715491,0.0127638969785
29312.5,19756.25,15,0.834009579618,-8.08686451137e-17,4.59335214726e-18,2839.12398461,24125.0,4.99933852468,3660.36071106,1.60930560862,-0.0190481721461,10,0.00876291869143,0.0190481721461
26987.5,17068.75,16,0.785237003311,-2.5334040421e-16,-2.00652335008e-18,3519.73726159,22799.375,5.00204658215,3655.82483417,1.60984714512,-0.0112122462493,10,0.00661401474182,0.0112122462493
27725.0,14393.75,17,0.754627698998,-1.70785607878e-16,-2.98141496512e-18,3698.75380196,20863.75,5.0057019937,3598.20041427,1.61057766141,-0.0119150796239,10,0.0085467255384,0.0119150796239
26431.25,5693.75,18,0.421574557177,3.19272386307e-16,6.63068521814e-18,7254.06645118,18244.375,4.967903096,3174.79788594,1.6029978388,-0.0087781502683,10,0.00735844752005,0.0087781502683
28668.75,4993.75,19,0.444230335854,4.44144721001e-16,-5.61631105965e-20,7884.4784476,19716.875,4.96960671582,3354.95630211,1.60334070535,-0.0103995631013,10,0.00944027951352,0.0103995631013
27550.0,12643.75,20,0.790126277086,-1.94910754203e-16,3.25134800741e-18,4317.03841807,22691.875,4.98763514419,3505.56515556,1.60696187843,-0.0135981001604,10,0.00807702706698,0.0135981001604
24431.25,-812.5,21,0.456464208663,-4.6661563502e-16,1.64873299773e-18,7034.59575953,19061.25,4.89916686485,3034.7612694,1.58906516308,-0.0121775408086,10,0.00942511715311,0.0121775408086
27350.0,16631.25,22,0.718318271493,7.34967642302e-17,-2.02577105111e-18,3707.98757751,22950.0,4.83645207529,3645.04019526,1.57618140963,-0.0112161863055,10,0.00741815628577,0.0112161863055
27556.25,14475.0,23,0.723603192783,3.90816545792e-16,-5.73452525539e-18,3828.22520277,21124.375,4.85664803336,3590.69810092,1.58034849489,-0.0102392441608,10,0.00974834217207,0.0102392441608
26225.0,16887.5,24,0.848357352234,5.67546010188e-17,-1.30936651424e-18,2977.65349101,22786.25,4.80657268667,3636.92216231,1.56998429099,-0.0101945333605,10,0.00773926571028,0.0101945333605
27856.25,14431.25,25,0.692420612549,7.63833440942e-18,-1.07263532498e-18,3669.68370785,19070.625,4.72231402459,3297.57278722,1.55229893891,-0.00830090952999,10,0.00952694859585,0.00830090952999
27887.5,17350.0,26,0.812107118708,-2.26396679182e-16,-9.53295080337e-18,3126.12954586,22698.75,4.77131856465,3881.09183803,1.56262269535,-0.0139083414188,10,0.00970327593897,0.0139083414188
28512.5,16543.75,27,0.727928456101,-3.80417919388e-16,-4.63220301912e-18,4505.58980081,22955.625,4.68483577076,3811.88525599,1.54433086081,-0.0105134751563,10,0.00841728729682,0.0105134751563
27518.75,17637.5,28,0.769181534155,-5.11278519522e-16,-1.25598850235e-17,2865.27465143,21253.125,4.52561137542,3445.58816147,1.50975267861,-0.0100785709123,10,0.0081693542488,0.0100785709123
28206.25,16650.0,29,0.796307997708,5.03197483681e-16,-3.90962047602e-18,3496.08464035,22363.75,4.64886844382,3653.67284881,1.53662384457,-0.013473995898,10,0.00959412060598,0.013473995898
